1	2	2022-01-01	2022-01-15	
6	10	2022-01-02	2022-01-16	2022-01-15
5	6	2022-01-03	2022-01-17	2022-01-18
8	5	2022-01-04	2022-01-18	2022-01-10
2	8	2022-01-05	2022-01-19	2022-01-22
4	4	2022-01-06	2022-01-20	2022-01-15
9	5	2022-01-07	2022-01-21	2022-01-21
5	10	2022-01-08	2022-01-22	2022-01-10
2	3	2022-01-09	2022-01-23	2022-01-24
4	8	2022-01-10	2022-01-24	2022-01-20
5	7	2022-01-11	2022-01-25	
8	1	2022-01-12	2022-01-26	2022-01-13
3	3	2022-01-13	2022-01-27	
2	9	2022-01-14	2022-01-28	2022-01-27
4	4	2022-01-15	2022-01-29	2022-01-23
2	6	2022-01-16	2022-01-30	2022-01-30
5	2	2022-01-17	2022-01-31	2022-01-29
7	1	2022-01-18	2022-02-01	2022-02-08
5	6	2022-01-19	2022-02-02	2022-02-01
3	8	2022-01-20	2022-02-03	2022-01-30
